Team Number,Team Name,Avg Qual Rank,Events Attended,Total Awards,Total Matches,Total Wins,Total Losses,Total Ties,Winrate %,Combined Skills,Driver Skills,Programming Skills,TrueSkill Ranking,TrueSkill Score,Qual Wins,Qual Losses,Qual Ties,Playoff Wins,Playoff Losses,Playoff Ties
12Z,Zap,18.56,9,9,94,67,27,0,71.3,165,98,67,165,26.3,46,21,0,21,6,0
81Z,VEXMEN: Zephyr,20.11,9,10,84,50,33,1,59.5,144,83,61,796,23.7,38,27,0,12,6,1
169X,The Cavalry,7.75,8,4,80,63,17,0,78.8,145,75,70,532,24.5,43,11,0,20,6,0
291Z,H!ghL!ght,13.2,5,6,51,31,19,1,60.8,162,88,74,757,23.8,24,13,1,7,6,0
344E,THUNDER CHICKENS,16.0,8,6,87,57,30,0,65.5,92,60,32,835,23.6,41,24,0,16,6,0
526C,Zippin Pippin,15.62,8,2,94,59,35,0,62.8,118,75,43,953,23.3,47,29,0,12,6,0
727G,Terrapin Gold,17.6,5,6,49,30,18,1,61.2,172,95,77,1250,22.7,22,14,1,8,4,0
901Z,Zero Latency,3.0,5,5,51,43,8,0,84.3,105,74,31,465,24.7,31,5,0,12,3,0
1022W,Wonder,9.5,6,5,60,45,15,0,75.0,123,79,44,532,24.5,30,13,0,15,2,0
1104V,Discobots Venom ひ,14.89,9,2,77,49,27,1,63.6,181,101,80,1148,22.9,44,19,0,5,8,1
1412J,BANSHEE!,6.08,13,13,143,120,23,0,83.9,184,98,86,64,27.3,84,15,0,36,8,0
1585B,Dawn,9.83,6,9,63,53,10,0,84.1,159,98,61,225,25.9,40,7,0,13,3,0
1727K,REX,9.86,7,5,72,58,14,0,80.6,151,93,58,207,26.0,43,9,0,15,5,0
1791V,JOINUS,8.43,7,10,58,40,18,0,69.0,191,104,87,618,24.2,33,13,0,7,5,0
2011F,FaZe Clan,16.64,11,8,107,69,38,0,64.5,184,86,98,532,24.5,50,25,0,19,13,0
2115P,Peekaboo,12.4,10,3,94,63,31,0,67.0,160,86,74,358,25.2,52,20,0,11,11,0
2147Z,Integer Robotics,25.4,10,6,91,52,39,0,57.1,137,83,54,532,24.5,41,31,0,11,8,0
2360C,Clockwork,12.17,6,2,64,38,26,0,59.4,123,77,46,2108,21.3,29,19,0,9,7,0
2501S,Shenanigan's,7.2,10,13,116,93,23,0,80.2,123,84,39,225,25.9,70,18,0,23,5,0
2602K,Hopkinetics KryptoKnights,9.12,8,14,80,66,14,0,82.5,196,96,100,137,26.5,45,9,0,21,5,0
2815Z,Hongyi STEM International Academy,7.67,6,5,56,42,14,0,75.0,211,116,95,340,25.3,31,11,0,11,3,0
3134G,Dublin Robotics Genesis,22.33,6,4,55,35,20,0,63.6,114,67,47,1614,22.1,25,16,0,10,4,0
3204A,SPC Bots Alexander,17.29,7,1,60,22,38,0,36.7,11,11,0,4064,19.1,17,31,0,5,7,0
3588X,Galaxy,18.0,7,3,62,37,25,0,59.7,217,115,102,1148,22.9,30,19,0,7,6,0
3796D,Dinoco,8.57,7,1,68,52,15,1,76.5,82,70,12,566,24.4,37,9,1,15,6,0
4142C,Calamity,13.33,6,2,60,31,29,0,51.7,93,67,26,2177,21.2,25,23,0,6,6,0
4588B,Radiant,5.25,8,10,82,73,9,0,89.0,141,78,63,193,26.1,53,4,0,20,5,0
4886W,Wiseguys,7.0,7,6,72,59,13,0,81.9,91,60,31,444,24.8,38,9,0,21,4,0
5155E,Cereal Killers,11.71,7,4,65,45,19,1,69.2,117,72,45,444,24.8,34,14,1,11,5,0
5691A,Hornet Robotics- Aurora,6.6,5,6,45,32,13,0,71.1,78,50,28,1481,22.3,25,9,0,7,4,0
6008G,G-Force,4.85,13,19,132,108,24,0,81.8,167,97,70,110,26.7,76,17,0,32,7,0
6210M,Meta Mafia,5.2,15,19,163,136,27,0,83.4,188,98,90,46,27.7,93,19,0,43,8,0
6403Z,Zedonk,13.53,15,14,151,108,43,0,71.5,173,98,75,314,25.4,74,33,0,34,10,0
7110A,Andromeda,8.0,8,9,84,62,20,2,73.8,164,99,65,383,25.1,45,14,1,17,6,1
7262A,中国人民大学附属中学A队,9.0,4,3,41,26,13,2,63.4,101,75,26,1200,22.8,23,9,2,3,4,0
7486A,衡水中学&成都七中国际部,19.0,2,3,19,5,13,1,26.3,15,13,2,6432,17.1,4,12,0,1,1,1
7862W,DNR,10.44,9,6,87,57,29,1,65.5,93,63,30,1200,22.8,41,22,1,16,7,0
8076X,Recoil,9.0,3,4,27,23,4,0,85.2,180,100,80,1481,22.3,16,2,0,7,2,0
8448X,Team Rocket,6.29,7,3,67,53,14,0,79.1,149,83,66,383,25.1,41,7,0,12,7,0
8894X,XERØ,12.0,5,2,49,35,14,0,71.4,159,92,67,1427,22.4,28,9,0,7,5,0
9061X,Vortex,30.25,8,1,67,38,29,0,56.7,121,80,41,1675,22.0,31,23,0,7,6,0
9189X,Aurex,3.33,6,11,69,65,4,0,94.2,172,97,75,37,27.8,41,3,0,24,1,0
9784A,Wingin-It,5.25,12,22,125,104,21,0,83.2,132,90,42,51,27.6,74,18,0,30,3,0
10102Z,[Vinci] Hard Drive,8.4,5,3,49,38,11,0,77.6,200,114,86,340,25.3,30,8,0,8,3,0
11101K,Catch me if you can,7.23,13,6,131,100,30,1,76.3,209,112,97,137,26.5,77,19,1,23,11,0
11753A,Nylock,13.12,8,7,77,53,24,0,68.8,159,95,64,358,25.2,39,16,0,14,8,0
12914X,OmegaBotz,9.5,22,16,219,168,50,1,76.7,177,97,80,37,27.8,123,34,1,45,16,0
13722A,Green House,16.38,8,8,79,48,29,2,60.8,177,103,74,618,24.2,38,24,2,10,5,0
14895D,Gear Gurus,13.2,5,5,40,20,20,0,50.0,21,20,1,2901,20.3,17,16,0,3,4,0
16099B,Overclock,12.14,7,1,72,51,21,0,70.8,160,107,53,465,24.7,40,13,0,11,8,0
17280A,Razor,3.75,4,3,34,27,7,0,79.4,138,69,69,593,24.3,21,5,0,6,2,0
18908H,Mighty Hawks,16.8,5,3,51,30,20,1,58.8,55,45,10,1614,22.1,23,15,1,7,5,0
20132B,Falcon Robotics - Wingin'-It,9.17,6,11,68,56,12,0,82.4,94,79,15,444,24.8,42,11,0,14,1,0
21052A,Five Rings Robotics,6.0,3,0,23,15,8,0,65.2,21,21,0,4849,18.4,14,6,0,1,2,0
22532V,ORION,11.8,5,4,45,27,18,0,60.0,100,72,28,2312,21.0,21,14,0,6,4,0
26455A,Radical Robots,9.67,3,5,32,21,11,0,65.6,106,65,41,2647,20.6,15,7,0,6,4,0
29204B,Dougatron,18.86,7,1,59,29,30,0,49.2,129,74,55,1427,22.4,24,24,0,5,6,0
32092G,Mile High Mechanics,7.43,7,14,84,64,20,0,76.2,190,105,85,110,26.7,47,14,0,17,6,0
34001B,MARIO,2.25,4,5,43,39,4,0,90.7,129,98,31,46,27.7,24,4,0,15,0,0
36930X,TLU,11.0,4,1,31,18,13,0,58.1,50,50,0,1967,21.5,15,11,0,3,2,0
39792E,ECHO Aviators,10.7,10,4,93,61,31,1,65.6,118,84,34,684,24.0,47,22,1,14,9,0
43141Z,VEXCALIBUR,5.4,5,5,54,44,10,0,81.5,153,99,54,383,25.1,34,8,0,10,2,0
44077T,Vajiravudh College,3.5,2,5,24,18,6,0,75.0,99,67,32,2473,20.8,15,3,0,3,3,0
46366A,NJSP Robotics,29.29,7,1,59,25,33,1,42.4,79,58,21,3340,19.8,23,30,1,2,3,0
51548B,Inertial,6.0,4,5,39,28,11,0,71.8,91,61,30,1794,21.8,21,8,0,7,3,0
54001A,西安市铁一中学A队,4.2,5,7,47,35,12,0,74.5,182,98,84,796,23.7,29,5,0,6,7,0
56448A,Apollo,16.29,7,3,63,40,23,0,63.5,88,68,20,2028,21.4,30,18,0,10,5,0
59735X,CobraBionix,3.5,4,7,47,36,11,0,76.6,109,76,33,1044,23.1,27,7,0,9,4,0
62629K,Iron Patriots:  K-otic,8.0,8,6,85,67,17,1,78.8,122,75,47,566,24.4,52,11,1,15,6,0
64040B,Lake George Robotics,3.33,6,11,67,58,9,0,86.6,98,78,20,193,26.1,38,5,0,20,4,0
66954A,Circuit Girls,14.45,11,8,105,58,46,1,55.2,107,65,42,684,24.0,49,38,1,9,8,0
69580A,Odonata,6.2,5,8,47,39,8,0,83.0,76,57,19,835,23.6,28,7,0,11,1,0
71909X,TESLA MODEL X,13.29,7,6,70,55,15,0,78.6,140,85,55,314,25.4,37,12,0,18,3,0
74403W,74403 W,6.57,7,0,62,41,21,0,66.1,68,46,22,1481,22.3,34,14,0,7,7,0
76502A,Error 404,21.86,7,0,52,17,35,0,32.7,71,56,15,4611,18.6,17,29,0,0,6,0
78634E,Discount Toasters,8.43,7,9,69,50,18,1,72.5,162,88,74,1044,23.1,36,13,0,14,5,1
80080X,Nailed,7.57,7,10,68,49,19,0,72.1,178,94,84,225,25.9,36,15,0,13,4,0
81988B,Artemis,7.25,4,4,44,29,13,2,65.9,187,97,90,908,23.4,22,8,2,7,5,0
84443F,Ingenuity,12.71,7,8,67,46,20,1,68.7,108,77,31,908,23.4,37,15,1,9,5,0
87867C,Eclipse,12.14,7,6,68,44,24,0,64.7,141,97,44,493,24.6,34,17,0,10,7,0
91142A,Adrenaline,25.73,11,2,98,49,48,1,50.0,51,31,20,2720,20.5,45,40,1,4,8,0
95071V,Saratoga High Velocity,14.18,11,5,109,86,22,1,78.9,179,90,89,179,26.2,64,14,1,22,8,0
96789Z,Mililani Mechs,1.38,8,20,88,82,6,0,93.2,178,103,75,16,28.2,60,4,0,22,2,0
98115A,98115A,12.0,1,2,9,4,5,0,44.4,61,45,16,5704,17.7,4,4,0,0,1,0
98601C,Jinx (Troy),28.25,8,3,72,35,36,1,48.6,82,62,20,1675,22.0,29,29,1,6,7,0
99750A,Sparta's Chosen,12.67,6,3,51,33,17,1,64.7,91,64,27,1148,22.9,28,13,1,5,4,0
